算法,实例名称,工件数,工厂数,工序数,Alpha,实例序号,目标值,下界,Gap,迭代次数,总求解时间(s),主问题时间(s),子问题阶段1时间(s),子问题阶段2时间(s),拒绝订单个数,下界
LBBD3.py,10-3-3-a100-i3.json,10,3,3,100,3,1907,1907,0,1,0.259,0.021,0.223,0,5,1907
LBBD3.py,10-3-4-a10-i3.json,10,3,4,10,3,1767,1767,0,1,0.293,0.027,0.24,0,3,1767
LBBD3.py,10-3-4-a100-i1.json,10,3,4,100,1,2029,2029,0,1,0.219,0.026,0.175,0,4,2029
LBBD3.py,10-3-5-a100-i1.json,10,3,5,100,1,2083,2083,0,1,0.287,0.024,0.238,0,5,2083
LBBD3.py,10-3-5-a100-i2.json,10,3,5,100,2,1965,1965,0,1,0.288,0.02,0.247,0,3,1965
LBBD3.py,10-4-3-a0.1-i1.json,10,4,3,0.1,1,1767,1767,0,1,0.349,0.038,0.284,0,5,1767
LBBD3.py,10-4-3-a10-i1.json,10,4,3,10,1,1760,1760,0,1,0.35,0.031,0.298,0,5,1760
LBBD3.py,10-4-4-a10-i2.json,10,4,4,10,2,1825,1825,0,1,0.382,0.032,0.326,0,3,1825
LBBD3.py,10-4-4-a100-i3.json,10,4,4,100,3,1913,1913,0,1,0.299,0.025,0.243,0,5,1913
LBBD3.py,10-4-5-a1-i3.json,10,4,5,1,3,1846,1846,0,5,2.431,0.234,1.644,0.515,4,1846
LBBD3.py,10-4-5-a100-i2.json,10,4,5,100,2,1900,1900,0,1,0.333,0.04,0.243,0,4,1900
LBBD3.py,15-2-3-a1-i1.json,15,2,3,1,1,3040,3040,0,3,0.765,0.116,0.462,0.171,11,3040
LBBD3.py,15-2-3-a100-i2.json,15,2,3,100,2,2764,2764,0,1,0.199,0.019,0.167,0,6,2764
LBBD3.py,15-2-4-a10-i1.json,15,2,4,10,1,2538,2538,0,1,0.217,0.031,0.155,0,8,2538
LBBD3.py,15-2-4-a100-i3.json,15,2,4,100,3,3098,3098,0,1,0.222,0.029,0.166,0,9,3098
LBBD3.py,15-2-5-a10-i1.json,15,2,5,10,1,2847,2847,0,1,0.219,0.033,0.165,0,10,2847
LBBD3.py,15-2-5-a10-i3.json,15,2,5,10,3,3191,3191,0,1,0.265,0.044,0.187,0,7,3191
LBBD3.py,15-3-3-a10-i3.json,15,3,3,10,3,2995,2995,0,1,0.295,0.049,0.226,0,7,2995
LBBD3.py,15-3-3-a100-i3.json,15,3,3,100,3,2995,2995,0,1,0.283,0.029,0.234,0,7,2995
LBBD3.py,15-3-4-a10-i3.json,15,3,4,10,3,3195,3195,0,1,0.242,0.042,0.173,0,6,3195
LBBD3.py,15-3-4-a100-i3.json,15,3,4,100,3,3195,3195,0,1,0.282,0.05,0.183,0,6,3195
LBBD3.py,15-3-5-a10-i3.json,15,3,5,10,3,3133,3133,0,1,0.356,0.051,0.263,0,6,3133
LBBD3.py,15-3-5-a100-i1.json,15,3,5,100,1,2606,2606,0,1,0.402,0.054,0.285,0,8,2606
LBBD3.py,15-4-3-a10-i1.json,15,4,3,10,1,2678,2678,0,1,0.324,0.05,0.241,0,8,2678
LBBD3.py,15-4-3-a100-i3.json,15,4,3,100,3,3072,3072,0,1,0.384,0.035,0.316,0,3,3072
LBBD3.py,15-4-4-a0.1-i1.json,15,4,4,0.1,1,2228,2228,0,1,0.429,0.054,0.325,0,8,2228
LBBD3.py,15-4-4-a10-i1.json,15,4,4,10,1,2228,2228,0,1,0.413,0.051,0.327,0,8,2228
LBBD3.py,15-4-5-a10-i1.json,15,4,5,10,1,2412,2412,0,1,0.452,0.074,0.326,0,9,2412
LBBD3.py,15-4-5-a10-i3.json,15,4,5,10,3,3150,3150,0,1,0.444,0.055,0.256,0,3,3150
LBBD3.py,20-2-3-a10-i3.json,20,2,3,10,3,3986,3986,0,2,0.537,0.079,0.35,0.088,13,3986
LBBD3.py,20-2-3-a100-i1.json,20,2,3,100,1,3351,3351,0,1,0.243,0.047,0.173,0,13,3351
LBBD3.py,20-2-4-a10-i1.json,20,2,4,10,1,3483,3483,0,1,0.265,0.05,0.175,0,14,3483
LBBD3.py,20-2-4-a100-i1.json,20,2,4,100,1,3483,3483,0,1,0.28,0.033,0.171,0,14,3483
