instance,N_whale,a_decay,b,objective,time,status
70-4-6-a100-i3.json,30,sqrt,1.5,18380.0,299.9502782821655,success
70-4-6-a100-i3.json,50,linear,1.0,18380.0,299.3255310058594,success
70-4-6-a100-i3.json,50,linear,1.5,18380.0,299.8772315979004,success
70-4-6-a100-i3.json,50,sqrt,1.0,18380.0,299.2983396053314,success
70-4-6-a100-i3.json,50,sqrt,1.5,18380.0,299.58219385147095,success
70-4-6-a100-i3.json,80,linear,1.0,18380.0,299.9487102031708,success
70-4-6-a100-i3.json,80,linear,1.5,18380.0,299.54568338394165,success
70-4-6-a100-i3.json,80,sqrt,1.0,18380.0,299.40859365463257,success
70-4-6-a100-i3.json,80,sqrt,1.5,18380.0,300.0381679534912,success
70-4-7-a0.1-i2.json,30,linear,1.0,18260.0,299.9047749042511,success
70-4-7-a0.1-i2.json,30,linear,1.5,18260.0,299.5332713127136,success
70-4-7-a0.1-i2.json,30,sqrt,1.0,18260.0,299.13692450523376,success
70-4-7-a0.1-i2.json,30,sqrt,1.5,18260.0,299.0082743167877,success
70-4-7-a0.1-i2.json,50,linear,1.0,18260.0,299.3405976295471,success
70-4-7-a0.1-i2.json,50,linear,1.5,18260.0,300.02922344207764,success
70-4-7-a0.1-i2.json,50,sqrt,1.0,18260.0,299.33522844314575,success
70-4-7-a0.1-i2.json,50,sqrt,1.5,18260.0,299.96941208839417,success
70-4-7-a0.1-i2.json,80,linear,1.0,18260.0,299.0888912677765,success
70-4-7-a0.1-i2.json,80,linear,1.5,18260.0,299.932754278183,success
70-4-7-a0.1-i2.json,80,sqrt,1.0,18260.0,299.67190313339233,success
70-4-7-a0.1-i2.json,80,sqrt,1.5,18260.0,299.3291051387787,success
70-4-8-a0.1-i3.json,30,linear,1.0,18380.0,299.6792347431183,success
70-4-8-a0.1-i3.json,30,linear,1.5,18380.0,299.7751851081848,success
70-4-8-a0.1-i3.json,30,sqrt,1.0,18380.0,299.5168640613556,success
70-4-8-a0.1-i3.json,30,sqrt,1.5,18380.0,300.0132417678833,success
70-4-8-a0.1-i3.json,50,linear,1.0,18380.0,299.5260896682739,success
70-4-8-a0.1-i3.json,50,linear,1.5,18380.0,299.61800360679626,success
70-4-8-a0.1-i3.json,50,sqrt,1.0,18380.0,299.55471205711365,success
70-4-8-a0.1-i3.json,50,sqrt,1.5,18380.0,299.9810245037079,success
70-4-8-a0.1-i3.json,80,linear,1.0,18380.0,299.521621465683,success
70-4-8-a0.1-i3.json,80,linear,1.5,18380.0,299.7387869358063,success
70-4-8-a0.1-i3.json,80,sqrt,1.0,18380.0,299.73846411705017,success
70-4-8-a0.1-i3.json,80,sqrt,1.5,18380.0,299.59093260765076,success
70-5-6-a10-i3.json,30,linear,1.0,18060.0,299.9672861099243,success
70-5-6-a10-i3.json,30,linear,1.5,18060.0,299.45852875709534,success
70-5-6-a10-i3.json,30,sqrt,1.0,18060.0,299.70456886291504,success
70-5-6-a10-i3.json,30,sqrt,1.5,18060.0,299.19668459892273,success
70-5-6-a10-i3.json,50,linear,1.0,18060.0,300.06844210624695,success
70-5-6-a10-i3.json,50,linear,1.5,18060.0,299.0133435726166,success
70-5-6-a10-i3.json,50,sqrt,1.0,18060.0,300.0774130821228,success
70-5-6-a10-i3.json,50,sqrt,1.5,18060.0,299.12875986099243,success
70-5-6-a10-i3.json,80,linear,1.0,18060.0,299.64403891563416,success
70-5-6-a10-i3.json,80,linear,1.5,18060.0,299.83134293556213,success
70-5-6-a10-i3.json,80,sqrt,1.0,18060.0,299.41415572166443,success
70-5-6-a10-i3.json,80,sqrt,1.5,18060.0,299.61493730545044,success
70-5-7-a10-i3.json,30,linear,1.0,18060.0,299.47646856307983,success
70-5-7-a10-i3.json,30,linear,1.5,18060.0,299.3044652938843,success
70-5-7-a10-i3.json,30,sqrt,1.0,18060.0,299.25535583496094,success
70-5-7-a10-i3.json,30,sqrt,1.5,18060.0,300.03898882865906,success
70-5-7-a10-i3.json,50,linear,1.0,18060.0,299.297212600708,success
70-5-7-a10-i3.json,50,linear,1.5,18060.0,299.660710811615,success
70-5-7-a10-i3.json,50,sqrt,1.0,18060.0,300.0456919670105,success
70-5-7-a10-i3.json,50,sqrt,1.5,18060.0,299.5368723869324,success
70-5-7-a10-i3.json,80,linear,1.0,18060.0,300.02567625045776,success
70-5-7-a10-i3.json,80,linear,1.5,18060.0,299.9943404197693,success
70-5-7-a10-i3.json,80,sqrt,1.0,18060.0,299.3298969268799,success
70-5-7-a10-i3.json,80,sqrt,1.5,18060.0,300.0447986125946,success
70-5-8-a1-i3.json,30,linear,1.0,18060.0,299.9217367172241,success
70-5-8-a1-i3.json,30,linear,1.5,18060.0,299.63487577438354,success
70-5-8-a1-i3.json,30,sqrt,1.0,18060.0,300.04030776023865,success
70-5-8-a1-i3.json,30,sqrt,1.5,18060.0,299.3603959083557,success
70-5-8-a1-i3.json,50,linear,1.0,18060.0,299.5856382846832,success
70-5-8-a1-i3.json,50,linear,1.5,18060.0,299.8077778816223,success
70-5-8-a1-i3.json,50,sqrt,1.0,18060.0,299.44857692718506,success
70-5-8-a1-i3.json,50,sqrt,1.5,18060.0,299.6638445854187,success
70-5-8-a1-i3.json,80,linear,1.0,18060.0,299.54740691185,success
70-5-8-a1-i3.json,80,linear,1.5,18060.0,299.1044843196869,success
70-5-8-a1-i3.json,80,sqrt,1.0,18060.0,299.9823520183563,success
70-5-8-a1-i3.json,80,sqrt,1.5,18060.0,299.15072655677795,success
