instance,O,P,Q,l_max,objective,time,status
50-5-7-a1-i2.json,1,0,1,8,4011190.0,299.00852394104004,success
50-5-8-a0.1-i1.json,0,0,0,2,10882.0,299.02153635025024,success
50-5-8-a0.1-i1.json,0,0,0,5,10963.0,299.03272342681885,success
50-5-8-a0.1-i1.json,0,0,0,8,11184.0,299.01981377601624,success
50-5-8-a0.1-i1.json,0,0,1,2,10882.0,299.0147943496704,success
50-5-8-a0.1-i1.json,0,0,1,5,10963.0,299.013099193573,success
50-5-8-a0.1-i1.json,0,0,1,8,11184.0,299.0366725921631,success
50-5-8-a0.1-i1.json,1,0,0,2,2012775.0,299.2457284927368,success
50-5-8-a0.1-i1.json,1,0,0,5,2012775.0,299.6257417201996,success
50-5-8-a0.1-i1.json,1,0,0,8,2012775.0,299.2598752975464,success
50-5-8-a0.1-i1.json,1,0,1,2,2012775.0,299.02082896232605,success
50-5-8-a0.1-i1.json,1,0,1,5,2012775.0,299.0215365886688,success
50-5-8-a0.1-i1.json,1,0,1,8,2012775.0,299.95011138916016,success
70-3-6-a100-i1.json,0,0,0,2,16476.0,299.0301673412323,success
70-3-6-a100-i1.json,0,0,0,5,16476.0,299.0026812553406,success
70-3-6-a100-i1.json,0,0,0,8,15862.0,299.05786776542664,success
70-3-6-a100-i1.json,0,0,1,2,16476.0,299.0022683143616,success
70-3-6-a100-i1.json,0,0,1,5,16476.0,299.016649723053,success
70-3-6-a100-i1.json,0,0,1,8,15862.0,299.0219955444336,success
70-3-6-a100-i1.json,1,0,0,2,11901.0,304.18305253982544,success
70-3-6-a100-i1.json,1,0,0,5,11901.0,299.35766315460205,success
70-3-6-a100-i1.json,1,0,0,8,11901.0,299.3545734882355,success
70-3-6-a100-i1.json,1,0,1,2,11901.0,299.6362283229828,success
70-3-6-a100-i1.json,1,0,1,5,11901.0,299.4845860004425,success
70-3-6-a100-i1.json,1,0,1,8,11901.0,299.4919984340668,success
70-3-7-a10-i2.json,0,0,0,2,16832.0,299.02503633499146,success
70-3-7-a10-i2.json,0,0,0,5,16842.0,299.0372140407562,success
70-3-7-a10-i2.json,0,0,0,8,16526.0,299.00241231918335,success
70-3-7-a10-i2.json,0,0,1,2,16832.0,299.0271077156067,success
70-3-7-a10-i2.json,0,0,1,5,16842.0,299.0064766407013,success
70-3-7-a10-i2.json,0,0,1,8,16526.0,299.1695008277893,success
70-3-7-a10-i2.json,1,0,0,2,2012161.0,299.070654630661,success
70-3-7-a10-i2.json,1,0,0,5,2012161.0,299.379909992218,success
70-3-7-a10-i2.json,1,0,0,8,2012161.0,299.89298248291016,success
70-3-7-a10-i2.json,1,0,1,2,2012161.0,299.1838872432709,success
70-3-7-a10-i2.json,1,0,1,5,2012161.0,299.812203168869,success
70-3-7-a10-i2.json,1,0,1,8,2012161.0,299.5028803348541,success
70-3-8-a10-i1.json,0,0,0,2,16276.0,299.0320289134979,success
70-3-8-a10-i1.json,0,0,0,5,16770.0,299.0241131782532,success
70-3-8-a10-i1.json,0,0,0,8,16756.0,299.40193605422974,success
70-3-8-a10-i1.json,0,0,1,2,16276.0,299.03188467025757,success
70-3-8-a10-i1.json,0,0,1,5,16770.0,299.01133823394775,success
70-3-8-a10-i1.json,0,0,1,8,16756.0,299.02835035324097,success
70-3-8-a10-i1.json,1,0,0,2,3012740.0,299.1280188560486,success
70-3-8-a10-i1.json,1,0,0,5,3012740.0,299.5457282066345,success
70-3-8-a10-i1.json,1,0,0,8,3012740.0,300.0529775619507,success
70-3-8-a10-i1.json,1,0,1,2,3012740.0,299.7570888996124,success
70-3-8-a10-i1.json,1,0,1,5,3012740.0,299.10849618911743,success
70-3-8-a10-i1.json,1,0,1,8,3012740.0,299.6880393028259,success
70-4-6-a100-i3.json,0,0,0,2,16673.0,299.03557872772217,success
70-4-6-a100-i3.json,0,0,0,5,16886.0,299.0336265563965,success
70-4-6-a100-i3.json,0,0,0,8,17082.0,299.0062470436096,success
70-4-6-a100-i3.json,0,0,1,2,16673.0,299.01332354545593,success
70-4-6-a100-i3.json,0,0,1,5,16886.0,299.0237364768982,success
70-4-6-a100-i3.json,0,0,1,8,17082.0,299.0031352043152,success
70-4-6-a100-i3.json,1,0,0,2,11562.0,299.33408761024475,success
70-4-6-a100-i3.json,1,0,0,5,11562.0,299.8044013977051,success
